[header]
width=16
height=16
tilewidth=32
tileheight=32
orientation=orthogonal

[tilesets]
tileset=../../tiles.png,32,32,0,0

[layer]
type=Warstwa KafelkĂ„â€šÄąâ€šw 1
data=
1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,
1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
1,1,0,0,0,4,0,0,0,0,4,0,0,0,1,1,
1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,
1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
1,1,0,4,0,0,0,0,0,0,0,0,4,0,1,1,
1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,
1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1

